,,,,,,,,,,,,,,,,
name,description,open_time,close_time,entry_price,latitude,longitude,visit_count,provinces,city,subdistrict,street_name,zip_code,categories,facilities,url_image,url_video
Bukit Matang Kaladan,"Bukit yang indah dengan pemandangan alam yang menakjubkan di Kabupaten Banjar. Di sini, Anda dapat mendaki gunung, camping, atau berfoto-foto",00:00,23:59,0,-3.5252370006586093,115.01085413512357,7301,Kalimantan Selatan,Banjar,aranio,"F2F5+RQM, Aranio, Kec. Aranio, Kabupaten Banjar, Kalimantan Selatan 70671",70671,alam,"Pusat Informasi, toilet, tempat sampah, area parkir",,
Pulau Kembang,Pulau kecil yang indah dengan pantai berpasir putih dan air laut yang jernih,00:00,23:59,0,-3.315252764806994,114.54028558523575,2918,Kalimantan Selatan,Barito Kuala,tamban,"Tinggiran II, Kec. Tamban, Kabupaten Barito Kuala, Kalimantan Selatan",70582,alam,"Pusat Informasi, toilet, tempat sampah, toko oleh-oleh",,
Pantai Takisung,"Pantai yang indah dengan tebing batu kapur yang tinggi dan air laut yang biru di Kabupaten Tanah Laut. Di sini, Anda dapat berenang, berjemur, atau memancing.",00:00,23:59,0,-3.8641888121570522,114.60840911776629,9152,Kalimantan Selatan,Tanah Laut,takisung,"Takisung, Kabupaten Tanah Laut, Kalimantan Selatan",70861,alam,"area makanan, toilet, tempat sampah, area parkir",,
,,,,,,,,,,,,,,,,
Danau Kakaban,Danau Kakaban adalah salah satu tempat wisata Kalimantan Timur yang wajib dikunjungi. Temnpat wisata Kalimantan Timur ini terkenal memiliki berbagai jenis ubur-ubur langka.,08:00,16:00,30000,"2.1394181672076455, 118.5168674931726",118.5168674931726,3260,Kalimantan Timur,Berau,Maratua,"4GXG+HWJ, Pulau Kakaban, Payung-Payung, Kalimantan Timur",77381,Alam,"pusat informasi, area parkir, toilet",,
Kepulauan Derawan,"Kepulauan Derawan adalah gugusan pulau yang terletak di Kabupaten Berau, Kalimantan Timur. Kepulauan ini terkenal dengan keindahan alamnya yang masih asri, dengan pantai berpasir putih, air laut jernih, dan terumbu karang yang indah.",00:00,23:59,600000,"2.2598664516116576, 118.41810553764249",118.41810553764249,20000,Kalimantan Timur,Berau,Maratua,"Kabupaten Berau, Kalimantan Timur.",77380,Alam,"area parkir , Tempat Ibadah , toilet , area makanan",,
Danau Labuan Cermin,"Danau Labuan Cermin adalah danau yang terletak di Kabupaten Berau, Kalimantan Timur. Danau ini terkenal dengan airnya yang sangat jernih dan tenang. Pengunjung dapat berenang, berfoto, atau menikmati pemandangan danau yang indah.",08:00,17:00,50000,1.2527180716751944,118.6862720573069,12000,Kalimantan Timur,Berau,Biduk-biduk,"7M2M+VHP, Biduk-Biduk, Biduk Biduk, Kabupaten Berau, Kalimantan Timur 77373",77373,Alam,"area parkir, toilet, pusat informasi, toko oleh-oleh",,
Telaga Biru Tulung Ni' Lenggo,"Telaga Biru Tulung Ni' Lenggo adalah danau yang terletak di Kabupaten Kutai Timur, Kalimantan Timur. Danau ini terkenal dengan airnya yang berwarna biru kehijauan dan dikelilingi oleh hutan yang masih asri.",08:00,17:00,10000,1.4152748439741696,118.35029788167795,4581,Kalimantan Timur,Berau,Batu Putih,"C88X+3P7, Tembudan, Kec. Batu Putih, Kabupaten Berau, Kalimantan Timur 77372",77372,Alam,"area parkir, wahana permainan, tempat sampah, pusat informasi,tempat ibadah",,
Pulau Maratua,"MARATUA berada dalam gugusan Kepulauan Derawan Kabupaten Berau, salah satu pulau terluar di Kalimantan Timur yang berbatasan dengan Filipina Selatan dan Sabah, Malaysia Timur. Sejak lama Maratua dikenal sebagai tempat wisata bahari yang menampilkan keindahan pantai, aneka biota laut dengan bermacam jenis ikan, penyu dan keindahan bawah laut berupa terumbu karang yang sangat menarik. Juga hutan bakau dan mangrove serta pokok kelapa yang memagar pulau.",00:00,23:59,20000,2.2321920444517676,118.58006235042238,3902,Kalimantan Timur,Berau,Maratua,"Kabupaten Berau, Provinsi Kalimantan Timur.",77381,Alam,"pusat informasi, toilet, area parkir",,
Gua Haji Mangku,"Gua Haji Mangku adalah gua yang terletak di Kabupaten Kutai Timur, Kalimantan Timur. Gua ini terkenal dengan stalaktit dan stalagmitnya yang indah. Pengunjung dapat menjelajahi gua dan menikmati pemandangan stalaktit dan stalagmit yang menakjubkan.",08:00,17:00,5000,"2.183727963358852, 118.62554325764923",118.62554325764923,1200,Kalimantan Timur,Berau,Maratua,"5JMC+227, Tlk. Harapan, Kec. Maratua, Kabupaten Berau, Kalimantan Timur 77381",77381,Alam,"Toilet, area makanan, area parkir",,
Taman Nasional Kutai,"Taman Nasional Kutai adalah taman nasional yang terletak di Kabupaten Kutai Kartanegara, Kalimantan Timur. Taman ini terkenal dengan flora dan faunanya yang beragam, termasuk orangutan, bekantan, dan gajah.",08:00,17:00,500000,0.4413574490592662,117.11223942957777,2519,Kalimantan Timur,Kutai Timur ,Maratua,"C4R6+FC7, Sangatta Sel., Kec. Sangatta Sel., Kabupaten Kutai Timur, Kalimantan Timur 75553",75553,Alam,"penginapan,area makanan,Toilet,perahu wisata",,
Bukit Batu Dinding,"Bukit Batu Dinding adalah bukit yang terletak di Kabupaten Kutai Timur, Kalimantan Timur. Bukit ini terkenal dengan pemandangan alamnya yang indah, dengan tebing batu yang tinggi dan air terjun yang jernih.",00:00,23:59,0,-0.9243439246886711,116.9743080588555,2000,Kalimantan Timur,Kutai Kartanegara,Samboja,"3XGF+5FR, Bukit Merdeka, Kec. Samboja, Kabupaten Kutai Kartanegara, Kalimantan Timur 75271",75271,Alam,"Toilet, area parkir, pusat informasi",,
Museum mulawarman,"Museum Negeri Propinsi Kalimantan timur “Mulawarman” merupakan objek wisata budaya yang bermuatan Ilmu Pengeetahuan dan Sejarah Kerajaan Kutai Kartenegara. Lokasi Museum Mulawarman berada ditengah kota Tenggarong, dari Balikpapan dapat di tempuh melalui jalur darat dan sungai dengan waktu tempuh sekitar satu jam.",08:30,16:30,10000,-0.41295766458118827,116.99161951791767,5000,Kalimantan Timur,Kutai Kartanegara,Tenggarong,"Jl. Diponegoro No.26, Panji, Kec. Tenggarong, Kabupaten Kutai Kartanegara, Kalimantan Timur 75513",75513,Alam,"toko oleh-oleh, toilet, taman, pusat informasi",,
Bukit Bangkirai,"Wisata ini menawarkan pesona hutan hujan tropis yang masih alami, yang dilengkapi dengan sarana dan prasarana wisata seperti area makanan, lamin untuk pertemuan, kolam renang, serta cottage maupun jungle cabin",09:00,17:00,3500,-1.0241759879961145,116.86854678784557,7668,Kalimantan Timur,Kutai Kartanegara,Samboja,"Karya Merdeka, Kec. Samboja, Kabupaten Kutai Kartanegara, Kalimantan Timur 75271",75271,Alam,"penginapan, area makanan, toilet, tempat sampah, area parkir",,
,,,,,,,,,,,,,,,,
Air Terjun Krayan,"Air Terjun Krayan adalah sebutan untuk beberapa air terjun indah yang terletak di pedalaman Kalimantan Utara, di Kabupaten Nunukan, tepatnya di wilayah Krayan, yang berbatasan dengan Malaysia. Air terjun ini terkenal dengan kealamiannya yang masih asri dan airnya yang jernih.",00:00,23:59,0,4.010417249836094,116.53043609886221,1908,Kalimantan Utara,Nunukan,Krayan Induk,"WM4P+F77, Pa Kemut, Krayan, Kabupaten Nunukan, Kalimantan Utara 77456",77456,Alam,"Toilet, pusat informasi, ",,
Pantai Amal,"Pantai yang indah dengan pasir putih dan air laut yang jernih di Kota Tarakan. Di sini, Anda dapat berenang, berjemur, atau bermain voli pantai.",00:00,23:59,0,3.3066407352829916,117.66101873070261,5992,Kalimantan Utara,Tarakan,Tarakan Timur,"Pantai Amal, Kec. Tarakan Tim., Kota Tarakan, Kalimantan Utara",77115,Alam,"toilet ,area makanan, area parkir",,
Museum Sejarah Tarakan,"Museum yang menyimpan koleksi benda-benda bersejarah dari Perang Dunia II di Kota Tarakan. Di sini, Anda dapat mempelajari tentang peristiwa perang yang terjadi di Tarakan pada masa lalu",08:00,16:00,5000,3.2989343439883188,117.62186082532732,3428,Kalimantan Utara,Tarakan,Tarakan Timur,"7JXC+G4J, Kp. Empat, Kec. Tarakan Tim., Kota Tarakan, Kalimantan Utara",71121,Sejarah,"pusat informasi, toilet, area parkir",,
Taman Nasional Kayan Mentarang,"Taman nasional yang luas dengan hutan hujan tropis yang masih alami di Kabupaten Malinau dan Kabupaten Bulungan. Di sini, Anda dapat melihat berbagai macam flora dan fauna, seperti orangutan, bekantan, dan bunga anggrek",07:30,16:00,10000,2.8719186959320564,115.37975567190672,4452,Kalimantan Utara,Malinau,Bahau hulu,"V9CH+PCG, Balai Taman Nasional Kayan Mentarang Pemda, Jl. Pusat Pemerintahan, Tanjung Belimbing, Pujungan, Kabupaten Malinau, Kalimantan Utara 77562",77562,Alam,"pusat informasi, toilet, area makanan, toko oleh-oleh",,
Kawasan Konservasi Mangrove dan Bekantan,"Kawasan konservasi yang melindungi hutan mangrove dan habitat bekantan di Kota Tarakan. Di sini, Anda dapat melihat bekantan di habitat aslinya dan belajar tentang pentingnya konservasi hutan mangrove",08:00,17:00,5000,3.3055926214058435,117.57856462163011,3730,Kalimantan Utara,Tarakan,Tarakan Barat,"Karang Rejo, Tarakan Barat, Karang Rejo, Kec. Tarakan Bar., Kota Tarakan, Kalimantan Utara, Indonesia",77112,Alam,"Pusat informasi, tempat sampah, toilet",,
Pantai Eching,"Di Kaltara Anda juga bisa memilih destinasi lain selain hutan dan pegunungan, misalnya saja pantai Eching ini. Sangat cocok membawa keluarga untuk berlibur ke pantai ini karena ombaknya yang tenang, aman untuk berenang. Selain itu, Anda dapat memancing ikan karena tersedia tempat khusus untuk itu.",00:00,23:59,5000,4.093479035246732,117.71621091343667,7020,Kalimantan Utara,Nunukan,Nunukan Selatan,"Nunukan Sel., Kabupaten Nunukan, Kalimantan Utara 77482",77482,Alam,"toilet, area parkir, area makanan, tempat sampah, toko oleh-oleh",,
Pantai Kayu Angin,"Pantai ini memiliki pasir yang sangat lembut, serta air lautnya yang kebiruan saat pasang menambah sensasi keindahan pantai Kayu Angin.",00:00,23:59,10000,4.053576674968709,117.91713018167142,7130,Kalimantan Utara,Nunukan,Sebatik,"Tanjung Karang RT. 7, Sebatik, Tj. Karang, Kec. Sebatik, Kabupaten Nunukan, Kalimantan Utara 77483",77483,Alam,"wahana permainan, area makanan, toilet",,
Pulau Sebatik,"Selain menikmati wisata alam yang menarik dan budaya setempat yang masih kental, Anda akan mendapatkan satu keunikan dari tempat penuh pesona ini. Hal unik dari pulau yang berbatasan langsung dengan negara tetangga tersebut adalah dua mata uang yang digunakan secara bersama.",00:00,23:59,0,4.145031718023201,117.78160688860494,3000,Kalimantan Utara,Nunukan,Sebatik,"Tanjung Karang, Kecamatan Sebatik, Nunukan, Kalimantan Utara",77483,Alam,"penginapan, toilet, wahana permainan, area makanan",,
Keburau Rafting,Keburau Rafting adalah destinasi wisata alam yang ada di desa Long Beluah. Tempat ini merupakan medan arung jeram yang lengkap dengan suasana alam sekitar yang indah.,08:00,17:00,450000,2.6980671126319784,117.11865921231038,2301,Kalimantan Utara,Bulungan,Tanjung lapas Barat,"M4X9+528, Long Beluah, Kec. Tj. Palas Bar., Kabupaten Bulungan, Kalimantan Utara 77261",77261,alam,"wahana permainan, toilet, area parkir, area makanan",,
Dermaga Tidung,Dermaga Tidung adalah tempat yang dikenal juga dengan sebutan Dermaga Cinta. Pasalnya di dermaga tersebut diklaim sebagai spot terbaik menikmati sunset. Maka tak heran masyarakat ramai datang mengunjungi tempat ini. Belum lagi Anda dapat memancing juga di bawah dermaga,00:00,23:59,5000,3.626519384090149,117.26281948989372,4000,Kalimantan Utara,Tana Tidung,Sesayap Hilir,"Menjelutung, Sesayap Hilir, Kabupaten Tana Tidung, Kalimantan Utara",77453,Alam,"area parkir, toilet, penginapan, area makanan",,
,,,,,,,,,,,,,,,,
Pulau Lembeh,"Bagi pecinta diving, kamu nggak akan kehabisan spot diving deh kalau liburan ke Sulawesi Utara. Tapi, kalau mencari spot yang paling cantik maka pesona keindahan bawah laut Pulau Lembeh ini tiada duanya.",:00,23:59,0,"1.5231469957505073, ",125.14295093199732,4387,Sulawesi Utara,bitung,Lembeh Utara,"Pulau Lembeh, Kota Bitung, Sulawesi Utara.",95557,alam,"Pusat Informasi, toilet, tempat sampah, wahana permainan",,
Pulau Mahoro,Pulau Maharo memang terpencil. Letaknya termasuk dalam kawasan Nusa Utara yang merupakan garda depan pulau-pulau terluar Nusantara yang berbatasan dengan Filipina.,00:00,23:59,10000,"2.658381580263892, ",125.45540364654985,5487,Sulawesi Utara,siau tagulandang biaro,siau timur,"Tapile, Kec. Siau Tim. Sel., Kabupaten Siau Tagulandang Biaro, Sulawesi Utara",95861,alam,"Pusat Informasi, toilet, tempat sampah, area parkir",,
Batu Dinding Kilo 3 Amurang,,08:00,00:00,0,"1.1562305374426447, ",124.57470684214137,3654,Sulawesi Utara,minahasa,amurang,"5H3H+CGF, Buyungon, Kec. Amurang, Kabupaten Minahasa Selatan, Sulawesi Utara",95957,alam,"Pusat Informasi, toilet, tempat sampah, toko oleh-oleh",,
Hutan Pinus Lahendong,pinus yang menjulang tinggi tentu membuat pikiran kita terasa lebih segar. Apalagi bagi kamu yang jenuh dan lelah dengan rutinitas harian yang menyita sebagian besar waktu.,09:00,18:00,25000,"1.2847198194132539,",124.82057983116127,3645,Sulawesi Utara,Tomohon,tomohon selatan,"7RMF+J7C, Jalan Lahendong, Lahendong, Tomohon Selatan, Lahendong, Kec. Tomohon Sel., Kota Tomohon, Sulawesi Utara",95435,alam,"area makanan, toilet, tempat sampah, area parkir",,
Air Terjun Tumimperas,"Hal ini tak lepas dari suara air yang terjun dan menimpa bebatuan sungai di sana sehingga menghasilkan suara merdu nan alami. Dalam bahasa Tombulu, merdu disebut Tumimperas.",00:00,23:59,0,"1.2971657384221482, ",124.77955381843337,2896,Sulawesi Utara,Tomohon,tomohon selatan,"Pinaras, Tomohon Sel., Kota Tomohon, Sulawesi Utara",95434,alam,"area parkir, area makanan, Toilet, Tempat Ibadah, wahana permainan",,
Patung Yesus Memberkati,"Patung setinggi 30 meter dengan penyangga setinggi 20 meter ini disebut-sebut sebagai sala satu Patung Kristus termegah di dunia, nggak kalah sama yang ada di Rio de Janeiro, Brazil. Dari kejauhan, keindahan patung ini sudah terlihat jelas dengan jubah yang seakan-akan terbang tertiup angin.",00:00,23:59,0,"1.4389536909284648, ",124.84374070322806,3298,Sulawesi Utara,manado,malalayang,"CRQX+53R, Winangun Satu, Kec. Malalayang, Kota Manado, Sulawesi Utara",95885,alam,"area parkir, area makanan, Toilet, Tempat Ibadah, Pusat informasi, Toko oleh-oleh",,
Bukit Padies Kimuwu,"Bukit Padies Kimuwu ini langsung mencuri perhatian wisatawan. Wajar saja, apapun jenis wisata yang kamu cari bisa ditemukan di sini! Lagipula lokasinya juga tidak jauh dari pusat Kota Manado, kamu hanya perlu berkendara 30 menit saja.",09:00,20:00,15000,"1.4212549453672574, ",124.8232012184331,2943,Sulawesi Utara,minahasa,Pineleng,"Jl. Menuju ke Salib, Desa Warembungan jaga IV, Kecamatan, Kec. Pineleng, Kabupaten Minahasa, Sulawesi Utara 95661",95661,alam,"area parkir, area makanan, toilet, Tempat Ibadah",,
Puncak Tetetana Kumelembuai,"wilayah Sulawesi Utara mulai dari Kota Manado, Kota Bitung, Kota Tomohon, Minahasa, Minahasa Utara, bahkan Pulau Manado Tua yang ada di Bunaken juga terlihat dari sini.",08:00,18:00,20000,"1.3693034043450958, ",124.88732799808277,3681,Sulawesi Utara,Minahasa,tomohon timur,"9V8Q+FR7, Kumelembuay, Kec. Tomohon Tim., Kabupaten Minahasa, Sulawesi Utara",95449,alam,"gardu pandang, taman bunga, area makanan, toilet, dan Tempat Ibadah",,
Bukit Doa Mahawu Tomohon,Pemandangan alam yang hijau dan indah berpadu dengan hawa yang sejuk menjadi daya tarik utama dari Bukit Doa Tomohon atau yang kerap dijuluki Kelong Garden.,09:00,17:00,25.000,"1.3493884848352977, ",124.8472810391038,2347,Sulawesi Utara,Tomohon,Tomohon Utara,"Kakaskasen Tiga, Kec. Tomohon Utara, Kota Tomohon, Sulawesi Utara.",95417,alam,"Pusat Informasi, Toilet, Area parkir, Toko Oleh-Oleh",,
Kai Santi,kai santi berada di ketinggian 1100 mdpl membuat kamu bisa puas memandang keindahan Sulawesi Utara.,08:00,20:00,35000,"1.3243690888166895, ",124.80141343540379,20000,Sulawesi Utara,Tomohon,tomohon barat,": Jl. Woloan Kayawu, Woloan Dua, Tomohon Bar., Kota Tomohon, Sulawesi Utara",95422,alam,"Penginapan, area makanan, area parkir, tempat sampah, toko oleh-oleh",,
,,,,,,,,,,,,,,,,
Pulo Cinta,"Pulau yang merupakan salah satu pulau kecil di sebelah selatan daratan Gorontalo ini awalnya memang tak berpenghuni, namun saat ini pulau ini dikembangkan menjadi kawasan resort yang memiliki berbagai fasilitas wisata eksklusif dan romantis",00:00,23:59,3500000,0.4510359338505538,122.2930398607808,4821,Gorontalo,Boalemo,Botumoito,"Patoameme, Kec. Botumoito, Kabupaten Boalemo, Gorontalo",96264,alam,"area makanan, toilet, pusat informasi",,
Pulau saronde,"Pulau Saronde memiliki luas sekitar 8 hektar, dan terdiri dari dataran pasir putih, bukit, dan hutan. Pulau ini memiliki pantai yang indah, air laut yang jernih, dan terumbu karang yang masih alami.",00:00,23:59,25000,0.9265360575203933,122.86332637163284,2390,Gorontalo,Gorontalo Utara,Kwandang,"WVG7+GHJ, Moluo, Kec. Kwandang, Kabupaten Gorontalo Utara, Gorontalo",96133,alam,"tempat sampah, toilet, penginapan, area makanan",,
Wisata Hiu Paus Botubarani,"Salah satu fenomena keindahan alam Indonesia adalah menyaksikan secara langsung Hiu Paus yang mendunia. Adanya di Pantai Botubarani, wilayah Desa Botubarani, Kabupaten Bone Bolango, Provinsi Gorontalo. Mari melihat geliat ikan besar bertotol putih abu-abu itu dari atas perahu, atau bisa langsung menyelam di perairan Botubarani",06:00,17:00,50000,0.47474261608329504,123.10166429271524,5000,Gorontalo,Bone Bolango,Kabila Bone,"Botubarani, Kec. Kabila Bone, Kabupaten Bone Bolango, Gorontalo 96117",96117,alam,"wahana permainan, tempat makan, toilet",,
Puncak Dulamayo,"Puncak Dulamayo adalah sebuah destinasi wisata alam yang terletak di Desa Dulamayo Selatan, Kecamatan Telaga, Kabupaten Gorontalo, Provinsi Gorontalo, Indonesia. Tempat ini terkenal dengan hamparan hutan pinus dan pemandangan alam yang indah.",00:00,23:59,10000,0.7178757759696459,123.03738169141214,3200,Gorontalo,Gorontalo,Telaga,"P29P+4JP, Dulamayo Sel., Kec. Telaga, Kabupaten Gorontalo, Gorontalo 96181",96181,alam,"toilet, toko oleh-oleh, area parkir",,
Wisata Pulau Diyonumo Gorontalo,"Pulau Diyonumo adalah sebuah pulau kecil yang tersembunyi di Teluk Tomini, Kabupaten Gorontalo Utara, Provinsi Gorontalo, Indonesia. Pulau ini terkenal dengan keindahan alamnya yang masih asri dan belum tersentuh oleh pariwisata massal.",00:00,23:59,5000,0.9884643433299467,122.52751169647698,2400,Gorontalo,Gorontalo Utara,Sumalata,"Deme II, Kec. Sumalata, Kabupaten Gorontalo Utara, Gorontalo",96261,alam,"pusat informasi, toilet, area makanan,area parkir",,
Benteng Otanaha,Benteng ini merupakan bangunan peninggalan pada masa penjajahan Portugis. Saat itu tentara Portugis ingin tinggal sementara karena kapalnya mendapat serangan bajak laut dan mengalami cuaca buruk.,06:00,18:00,5000,0.5484312743649604,123.00950714119485,,Gorontalo,Gorontalo,Kota Baru,"Dembe I, Kec. Kota Bar., Kota Gorontalo, Gorontalo 96181",96181,Sejarah,"area parkir, area makanan, toilet",,
Desa Wisata Religi Bongo,Desa Adat Bubohu yang telah ditetapkan sebagai desa wisata religius oleh Pemerintah Provinsi Gorontalo karena pesona dari wisata budaya yang tersimpan baik di desa ini. Desa adat ini juga merupakan sebuah pesantren alam di mana di dalamnya terdapat para santri yang tengah menimba ilmu agama Islam.,07:00,21:00,0,"0.4998392901252175, 123.0334781372643",123.0334781372643,8000,Gorontalo,Gorontalo,Batudaa Pantai,"F2XM+V5, Bongo, Kec. Batudaa Pantai, Kabupaten Gorontalo, Gorontalo 96132",96132,Seni Budaya,"toilet, area parkir, tempat ibadah, area makanan, pusat informasi",,
Taman Wisata Laut Olele,Taman Laut Olele menjadi salah satu destinasi wisata unik di Gorontalo. Area wisata ini termasuk ke dalam kawasan Teluk Tomini. Ombak di taman laut ini tergolong tenang sehingga aman jika ingin berenang. Wisata unggulan yang ada di Taman Laut Olele yaitu pusat informasi.,00:00,23:59,50000,0.4101555498907955,123.15331414726778,5000,Gorontalo,Bone Bolango,Kabila Bone,"Olele, Kec. Kabila Bone, Kabupaten Bone Bolango, Gorontalo 96553",96553,alam,"penginapan, area makanan, area parkir, toilet, toko oleh-oleh",,
Danau Limboto,"Danau ini terletak di Kecamatan Limboto, tepatnya pada Provinsi Gorontalo. Danau ini cukup terkenal, karena menjadi pusat dari muara beberapa sungai di Sulawesi. Aliran sungai yang berasal dari Danau Limboto seperti Sungai Bionga, Sungai Molalahu, Sungai Bone Bolango, Sungai Alo, serta Sungai Daenaa. Setidaknya Danau Limboto menjadi muara dari 23 sungai, yang mengaliri Sulawesi.",00:00,23:59,0,0.5770246313445219,123.00754313542703,4600,Gorontalo,Gorontalo,Telaga Jaya,"H2G4+QR4, Buhu, Kec. Telaga Jaya, Kabupaten Gorontalo, Gorontalo 96181",96181,alam,"area parkir, pusat informasi, tempat sampah",,
Taman Wisata Tangga 2000,"Taman wisata ini menawarkan perpaduan antara wisata alam dan wisata budaya. Pengunjung dapat menikmati pemandangan Teluk Gorontalo yang eksotis, dengan perairan laut yang jernih, hamparan pasir putih, dan keindahan alam yang menawan.",00:00,23:59,20000,0.5071377756904271,123.05819228404982,1014,Gorontalo,Gorontalo,Hulonthalangi,"G345+Q3F, Pohe, Kec. Hulonthalangi, Kabupaten Gorontalo, Gorontalo 96133",96133,alam,"area parkir, pusat informasi, tempat sampah, area makanan",,
,,,,,,,,,,,,,,,,
Taman Nasional Lore Lindu,"taman nasional terbesar di Sulawesi Tengah dan merupakan rumah bagi berbagai flora dan fauna yang unik, termasuk anoa, tarsius, dan burung maleo.",00:00,23:59,5000,"-1.3026795066103811, 120.23643175145831",120.23643175145831,532,Sulawesi Tengah,Palu,Palu Utara,"Jl. Palu-Poso Km. 24, Lore Lindu, Palu Utara, Kota Palu, Sulawesi Tengah",75612,alam,"Penginapan, Pusat Informasi, area parkir, area makanan",,
Kepulauan Togean,"gugusan pulau yang indah di Teluk Tomini, Sulawesi Tengah.",00:00,23:59,100000,"-0.3266952439257994, 122.23854042126891",122.23854042126891,3257,Sulawesi Tengah,tojo una - una ,togean,"Kabupaten Tojo Una-Una, Sulawesi Tengah",94686,alam,"Penginapan, Pusat Informasi, area parkir, area makanan",,
Danau Poso,"Danau terbesar di Sulawesi Tengah ini terkenal dengan airnya yang jernih dan pemandangannya yang indah. Di sini kamu bisa memancing, berenang, atau naik perahu.",00:00,23:59,10000,-1.7679701444310674,120.63833009561976,3000,Sulawesi Tengah,Poso,Pamona barat,"Pamona Pusalemba, Sangele, Pamona Pusalemba, Kabupaten Poso, Sulawesi Tengah ",94663,alam,"penginapan, area makanan, area parkir, toilet, toko oleh-oleh",,
Air Terjun Saluopa,Air terjun ini memiliki ketinggian 120 meter dan dikelilingi oleh hutan yang rimbun. Airnya yang segar dan pemandangannya yang indah membuat air terjun ini menjadi tempat wisata yang populer.,08:00,17:00,10000,-1.7518421790093262,120.54137460473346,6090,Sulawesi Tengah,Poso,Pamona Utara,"6GXR+59X, Leboni, Pamona Pusalemba, Kabupaten Poso, Sulawesi Tengah ",94663,alam,"pusat informasi, area makanan, toilet",,
Lembah Bada,"Lembah ini terkenal dengan peninggalan megalitikumnya yang berusia ribuan tahun. Di sini kamu bisa melihat rumah adat Bada, kuburan megalitikum, dan petroglif.",00:00,23:59,10000,-1.8771864389586723,120.24944693764839,3900,Sulawesi Tengah,Poso,Lore Barat,"Kolori, Kec. Lore Bar., Kabupaten Poso, Sulawesi Tengah",94654,alam,"pusat informasi, toilet",,
Air Terjun Salodik,Air terjun ini memiliki ketinggian 80 meter dan dikelilingi oleh hutan yang rimbun. Airnya yang segar dan pemandangannya yang indah membuat air terjun ini menjadi tempat wisata yang populer.,00:00,23:59,2500,-0.8304579257183653,122.8704654832907,5700,Sulawesi Tengah,Banggai,Luwuk,"Jl. Trans Sulawesi, Salodik, Luwuk, Kabupaten Banggai, Sulawesi Tengah ",94716,alam,"pusat informasi, toilet, area makanan",,
Pulau Dua,"Pulau ini terkenal dengan pantainya yang indah dan air lautnya yang jernih. Di sini kamu bisa pusat informasi, diving, dan berjemur.",00:00,23:59,35000,"-0.8275770506177756, ",123.4390948961287,2859,Sulawesi Tengah,Banggai,balantak utara,"Desa Kampangar, Kecamatan Balantak Utara, Kabupaten Banggai, Provinsi Sulawesi Tengah",94775,alam,"penginapan, area makanan, area parkir, toilet",,
Pantai Tanjung Karang,"Pantai ini terkenal dengan pasir putihnya yang halus dan air lautnya yang biru. Di sini kamu bisa berenang, berjemur, dan bermain pasir.",00:00,23:59,10000,-0.6402856970942741,119.74024060406425,14571,Sulawesi Tengah,Donggala,Banawa,"Labuan Bajo, Kec. Banawa, Kabupaten Donggala, Sulawesi Tengah 94351",94351,alam,"pusat informasi, toilet, penginapan, wahana permainan",,
Museum Sulawesi Tengah,Museum ini menyimpan berbagai koleksi benda bersejarah yang berasal dari Sulawesi Tengah. Di sini kamu bisa belajar tentang sejarah dan budaya Sulawesi Tengah.,08:00,15:30,100000,"-5.901893036292057, ",117.17803028878775,4386,Sulawesi Tengah,palu,palu barat,"Jl. Kemiri No.23, Kamonji, Kec. Palu Bar., Kota Palu, Sulawesi Tengah 94111",94111,Sejarah,"pusat informasi, toilet, area parkir,tempat sampah",,
Tugu Nosarara Nosabatutu,Tugu ini merupakan ikon Kota Palu dan menjadi simbol persatuan dan kesatuan masyarakat Sulawesi Tengah.,08:00,22:00,5000,"-0.8565429160567828, 119.91350165414165",119.91350165414165,2530,Sulawesi Tengah,palu,palu timur,"Tim, Tondo, Kec. Palu Tim., Kota Palu, Sulawesi Tengah",94119,seni budaya,"area parkir, toilet, Tempat Ibadah, pusat informasi",,
